Year,State,PotatoAcres
1990,CALIFORNIA,50300
1990,COLORADO,72800
1990,DELAWARE,8200
1990,FLORIDA,45500
1990,IDAHO,405000
1990,ILLINOIS,3400
1990,INDIANA,4300
1990,IOWA,1700
1990,MAINE,81000
1990,MARYLAND,1800
1990,MASSACHUSETTS,2600
1990,MICHIGAN,46000
1990,MINNESOTA,75200
1990,MISSOURI,6800
1990,MONTANA,9000
1990,NEBRASKA,12200
1990,NEVADA,7000
1990,NEW JERSEY,4500
1990,NEW MEXICO,12000
1990,NEW YORK,29000
1990,NORTH CAROLINA,18000
1990,NORTH DAKOTA,150000
1990,OHIO,8000
1990,OREGON,54000
1990,PENNSYLVANIA,23000
1990,RHODE ISLAND,1100
1990,SOUTH DAKOTA,9000
1990,TEXAS,19000
1990,UTAH,6300
1990,VIRGINIA,11000
1990,WASHINGTON,133000
1990,WISCONSIN,67000
1990,WYOMING,2300
